Title,Date
"Lucifer: Sæson 5: Spoiler Alert","20/10/2020"
"Lucifer: Sæson 5: Our Mojo","20/10/2020"
"Mød min måske kone","18/10/2020"
"Modern Family: Sæson 9: The Long Goodbye","04/10/2020"
"Modern Family: Sæson 9: Lake Life","04/10/2020"
"Modern Family: Sæson 8: The Graduates","04/10/2020"
"The Good Place: Sæson 3: Pandemonium","01/10/2020"
"The Good Place: Sæson 3: Chidi Sees the Time-Knife","01/10/2020"
"Enola Holmes","01/10/2020"
"The Good Place: Sæson 3: Book of Dougs, The","30/09/2020"
"The Good Place: Sæson 3: Janet(s)","30/09/2020"
"The Good Place: Sæson 3: Don't Let the Good Life Pass You By","30/09/2020"
"The Good Place: Sæson 3: The Worst Possible Use of Free Will","30/09/2020"
"The Good Place: Sæson 3: A Fractured Inheritance","30/09/2020"
"The Good Place: Sæson 3: The Ballad of Donkey Doug","30/09/2020"
"The Good Place: Sæson 3: Jeremy Bearimy","30/09/2020"
"The Good Place: Sæson 3: The Snowplow","30/09/2020"
"The Good Place: Sæson 3: The Brainy Bunch","30/09/2020"
"The Good Place: Sæson 3: Everything is Bonzer, Part 1+2","30/09/2020"
"Modern Family: Sæson 8: Alone Time","27/09/2020"
"Modern Family: Sæson 8: All Things Being Equal","27/09/2020"
"Modern Family: Sæson 8: Frank's Wedding","27/09/2020"
"Modern Family: Sæson 8: Five Minutes","27/09/2020"
"Modern Family: Sæson 8: Pig Moon Rising","27/09/2020"
"Modern Family: Sæson 8: Basketball!","27/09/2020"
"Modern Family: Sæson 8: Finding Fizbo","27/09/2020"
"Lucifer: Sæson 5: BlueBallz","27/09/2020"
"Lucifer: Sæson 5: Detective Amenadiel","27/09/2020"
"Modern Family: Sæson 8: Heavy Is the Head","24/09/2020"
"Modern Family: Sæson 8: Do It Yourself","24/09/2020"
"Modern Family: Sæson 8: Do You Believe in Magic?","24/09/2020"
"Modern Family: Sæson 8: Sarge & Pea","23/09/2020"
"Modern Family: Sæson 8: Ringmaster Keifth","23/09/2020"
"Modern Family: Sæson 8: Snow Ball","23/09/2020"
"Modern Family: Sæson 8: The Alliance","22/09/2020"
"Modern Family: Sæson 8: Thanksgiving Jamboree","22/09/2020"
"Modern Family: Sæson 8: Grab It!","22/09/2020"
"Modern Family: Sæson 8: Halloween 4: The Revenge of Rod Skyhook","22/09/2020"
"Modern Family: Sæson 8: Weathering Heights","21/09/2020"
"Modern Family: Sæson 8: Blindsided","21/09/2020"
"Modern Family: Sæson 8: A Stereotypical Day","14/09/2020"
"Modern Family: Sæson 8: A Tale of Three Cities","14/09/2020"
"Modern Family: Sæson 7: Double-Click","14/09/2020"
"Modern Family: Sæson 7: Crazy Train","14/09/2020"
"Modern Family: Sæson 7: Promposal","14/09/2020"
"Modern Family: Sæson 7: Man Shouldn't Lie","14/09/2020"
"Modern Family: Sæson 7: The Party","14/09/2020"
"Modern Family: Sæson 7: Express Yourself","14/09/2020"
"Modern Family: Sæson 7: The Cover-Up","14/09/2020"
"Modern Family: Sæson 7: I Don't Know How She Does It","14/09/2020"
"Modern Family: Sæson 7: The Storm","13/09/2020"
"Modern Family: Sæson 7: Thunk in the Trunk","13/09/2020"
"Modern Family: Sæson 7: Clean for a Day","13/09/2020"
"Modern Family: Sæson 7: Spread Your Wings","13/09/2020"
"Modern Family: Sæson 7: Playdates","13/09/2020"
"Modern Family: Sæson 7: White Christmas","13/09/2020"
"Modern Family: Sæson 7: Clean Out Your Junk Drawer","12/09/2020"
"Modern Family: Sæson 7: Phil's Sexy, Sexy House","12/09/2020"
"Modern Family: Sæson 7: The More You Ignore Me","12/09/2020"
"Modern Family: Sæson 7: The Verdict","12/09/2020"
"Modern Family: Sæson 7: She Crazy","12/09/2020"
"Modern Family: Sæson 7: The Closet Case","12/09/2020"
"Modern Family: Sæson 7: The Day Alex Left for College","12/09/2020"
"Modern Family: Sæson 7: Summer Lovin'","12/09/2020"
"Modern Family: Sæson 6: American Skyper","11/09/2020"
"Modern Family: Sæson 6: Crying Out Loud","11/09/2020"
"Modern Family: Sæson 6: Patriot Games","11/09/2020"
"Modern Family: Sæson 6: Integrity","10/09/2020"
"Modern Family: Sæson 6: Knock 'Em Down","10/09/2020"
"Modern Family: Sæson 6: Grill, Interrupted","10/09/2020"
"Modern Family: Sæson 6: Spring Break","10/09/2020"
"Lucifer: Sæson 5: It Never Ends Well for the Chicken","09/09/2020"
"Lucifer: Sæson 5: ¡Diablo!","09/09/2020"
"Modern Family: Sæson 6: Closet? You'll Love It!","09/09/2020"
"Modern Family: Sæson 6: Connection Lost","09/09/2020"
"Modern Family: Sæson 6: Fight or Flight","09/09/2020"
"Modern Family: Sæson 6: Valentine's Day 4: Twisted Sister","09/09/2020"
"Modern Family: Sæson 6: Rash Decisions","09/09/2020"
"Modern Family: Sæson 6: The Big Guns","08/09/2020"
"Modern Family: Sæson 6: The Day We Almost Died","08/09/2020"
"Modern Family: Sæson 6: Haley's 21st Birthday","08/09/2020"
"Modern Family: Sæson 6: Strangers in the Night","06/09/2020"
"Modern Family: Sæson 6: Three Turkeys","06/09/2020"
"Modern Family: Sæson 6: Queer Eyes, Full Hearts","06/09/2020"
"Modern Family: Sæson 6: Halloween 3: AwesomeLand","06/09/2020"
"Modern Family: Sæson 6: Won't You Be Our Neighbor","06/09/2020"
"Modern Family: Sæson 6: Marco Polo","06/09/2020"
"Modern Family: Sæson 6: The Cold","06/09/2020"
"Modern Family: Sæson 6: Do Not Push","05/09/2020"
"Modern Family: Sæson 6: The Long Honeymoon","05/09/2020"
"Modern Family: Sæson 5: The Wedding, Del 2","04/09/2020"
